text,label
Congratulations! You won a free prize. Click here to claim now.,scam
URGENT: Your account has been selected for a cash reward. Send your details.,scam
Get 50% discount today only. Visit the link to claim your offer.,scam
You have won a lottery. Pay the processing fee to receive your prize.,scam
Your bank account needs verification. Click the link immediately.,scam
Limited time offer! Claim your free gift card now.,scam
Please send your OTP to verify your account and receive the reward.,scam
"Congratulations, you are the lucky winner of a shopping voucher.",scam
Your package is waiting. Pay the small delivery fee using this link.,scam
You have been selected for a special cash bonus. Act now.,scam
Can you send me the notes from today's class?,legitimate
Your appointment is confirmed for tomorrow at 10 AM.,legitimate
Please call me when you reach home.,legitimate
The project meeting has been moved to Monday.,legitimate
Don't forget to submit your assignment today.,legitimate
I will send you the files after dinner.,legitimate
Happy birthday! Have a great day.,legitimate
Please bring your science notebook to class tomorrow.,legitimate
The train will arrive at 6 PM.,legitimate
Let's meet at the library after school.,legitimate
